Year,Art,Value
2024,	Mitgliedschaften in regionalen Bündnissen,	AGFK-Niedersachsen Region Hannover
2024,	Mitgliedschaften in regionalen Bündnissen,	Energieagentur Region Göttingen e.V.
2024,	Mitgliedschaften in regionalen Bündnissen,	Gesundheitsregion Göttingen e.V.
2024,	Mitgliedschaften in regionalen Bündnissen,	Landschaftspflegeverband Landkreis Göttingen e.V.
2024,	Mitgliedschaften in regionalen Bündnissen,	Landschaftsverband Südniedersachsen e.V.
2024,	Mitgliedschaften in regionalen Bündnissen,	Leineverband
2024,	Mitgliedschaften in regionalen Bündnissen,	Nordwestdeutscher Forstverein
2024,	Mitgliedschaften in regionalen Bündnissen,	Südniedersachsenstiftung
2024,	Mitgliedschaften in regionalen Bündnissen,	Schutzgemeinschaft Deutscher Wald Landesgemeinschaft Niedersachsen e.V.
2024,	Mitgliedschaften in regionalen Bündnissen,	SNIC – Südniedersachsen Innovationscampus
2024,	Mitgliedschaften in regionalen Bündnissen,	Fachkräftebündnis
2024,	Mitgliedschaft in bundesweiten und internationalen Bündnissen,	Arbeitsgemeinschaft naturgemäße Waldwirtschaft
2024,	Mitgliedschaft in bundesweiten und internationalen Bündnissen,	Bündnis „Städte Sicherer Häfen“
2024,	Mitgliedschaft in bundesweiten und internationalen Bündnissen,	Bundesverband GebäudeGrün e.V.
2024,	Mitgliedschaft in bundesweiten und internationalen Bündnissen,	Charta der Vielfalt e.V.
2024,	Mitgliedschaft in bundesweiten und internationalen Bündnissen,	Klima-Bündnis der europäischen Städte mit indigenen Völkern der Regenwälder – Alianza del Clima e.V.
2024,	Mitgliedschaft in bundesweiten und internationalen Bündnissen,	Konvent der Bürgermeister für Klima und Energie
2024,	Mitgliedschaft in bundesweiten und internationalen Bündnissen,	Mayors for Peace
2024,	Mitgliedschaft in bundesweiten und internationalen Bündnissen,	Musterresolution „2030-Agenda für nachhaltige Entwicklung: Nachhaltigkeit auf kommunaler Ebene mitgestalten“
2024,	Mitgliedschaft in bundesweiten und internationalen Bündnissen,  Kommunen für biologische Vielfalt e.V.


