Year,Alleinerziehende im Stadtgebiet, Value
2010,Alleinerziehende im Stadtgebiet, 2995
2011,Alleinerziehende im Stadtgebiet, 2757
2012,Alleinerziehende im Stadtgebiet, 2940
2013,Alleinerziehende im Stadtgebiet, 2590
2014,Alleinerziehende im Stadtgebiet, 2572
2015,Alleinerziehende im Stadtgebiet, 2485
2016,Alleinerziehende im Stadtgebiet, 2443
2017,Alleinerziehende im Stadtgebiet, 2360
2018,Alleinerziehende im Stadtgebiet, 2398
2019,Alleinerziehende im Stadtgebiet, 2258
2020,Alleinerziehende im Stadtgebiet, 2284
2021,Alleinerziehende im Stadtgebiet, 2239
2022,Alleinerziehende im Stadtgebiet, 2431
2023,Alleinerziehende im Stadtgebiet, 2392

