Year,Verbrauch, Value
1990,	Stromverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	6700
2008,	Stromverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	7068
2014,	Stromverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	6554
2018,	Stromverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	7687
2020,	Stromverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	6520
2021,	Stromverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	6791
2022,	Stromverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	7035
2023,	Stromverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	6935
1990,	Wärmeverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	43670
2008,	Wärmeverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	37794
2014,	Wärmeverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	25346
2018,	Wärmeverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	31264
2020,	Wärmeverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	29225
2021,	Wärmeverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	33331
2022,	Wärmeverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	30944
2023,	Wärmeverbrauch Stadt (eigene Liegenschaften und Einrichtungen),	28140

