Year,Value
	Kinderarmut anteilig in %,	21
	Kinderarmut anteilig in %,	20.3
	Kinderarmut anteilig in %,	19.4
	Kinderarmut anteilig in %,	18.6
	Kinderarmut anteilig in %,	18
	Kinderarmut anteilig in %,	17.3
	Kinderarmut anteilig in %,	16
	Kinderarmut anteilig in %,	16.8
	Kinderarmut anteilig in %, 17.8
	Kinderarmut anteilig in %,	17.5
	Kinderarmut anteilig in %,	17.9
	Kinderarmut anteilig in %,	17.5
	Kinderarmut anteilig in %,	18.7
	Kinderarmut anteilig in %,	
	Altersarmut anteilig in %,	3.8
	Altersarmut anteilig in %,	4
	Altersarmut anteilig in %,	4.3
	Altersarmut anteilig in %,	4.8
	Altersarmut anteilig in %,	5
	Altersarmut anteilig in %,	5
	Altersarmut anteilig in %,	4.9
	Altersarmut anteilig in %,	5
	Altersarmut anteilig in %,	5.3
	Altersarmut anteilig in %,	5.2
	Altersarmut anteilig in %,	5.2
	Altersarmut anteilig in %,	5.8
	Altersarmut anteilig in %,	6.6
	Altersarmut anteilig in %,	
